idx,name,title,cluster_id,cluster_title
49,everything-claude-code,Everything Claude Code: Modular AI-Assisted Evidence Synthesis Plugin Framework,C26,"Research Automation, AI Tools & Infrastructure"
50,evidence-board,Evidence Board: A Browser-Based Structured Note System for Systematic Review Screening,C23,"GRADE, PRISMA & Systematic Review Reporting"
51,evidence-inference,Evidence Inference: Machine Learning Extraction of Treatment Effects from Clinical Trial Reports,C26,"Research Automation, AI Tools & Infrastructure"
52,EvidenceHalfLife,The Evidence Half-Life: 53.4% of Meta-Analyses Never Reach Analytical Stability,C17,"Sequential Evidence, TSA & Adaptive Design"
53,EvidenceQuality,The Cochrane Quality Concordance: Six Orthogonal Dimensions of Evidence Reliability,C19,Empirical Cochrane Corpus Studies
54,EvidenceTribunal,The Evidence Tribunal: Adversarial Specification Search Across 403 Cochrane Meta-Analyses,C15,Multiverse & Specification-Robustness Analysis
55,Fatiha-course-github-v2,FATIHA: A Multilingual Evidence Synthesis Course Platform with 26 Interactive Modules,C15,Multiverse & Specification-Robustness Analysis
56,FATIHA_Project,SYNTHESIS: A 7-Layer Verification Framework for Detecting Fragile Meta-Analyses,C15,Multiverse & Specification-Robustness Analysis
58,focus-studio,Focus Studio: A Browser-Based Pomodoro Timer with Task Management and Session Logging,C31,Specialized Browser Tools & Research Productivity
59,fragility-atlas,Fragility of Cochrane Cardiovascular Meta-Analyses,C15,Multiverse & Specification-Robustness Analysis
60,FragilityAtlas,The Fragility Atlas: Multiverse Analysis of 473 Cochrane Meta-Analyses Reveals 56% Are Sensitive to Analyst Choices,C15,Multiverse & Specification-Robustness Analysis
61,FragilityIndex,Fragility Index Calculator: Browser-Based Statistical Fragility for RCTs,C09,"Publication Bias, Correction & Fragility"
62,GRMA_paper,Grey Relational Meta-Analysis: A Robust Pooling Method with Redescending Effect Guard,C09,"Publication Bias, Correction & Fragility"
64,hfpef_registry_synth,Registry-First Transparency-Adjusted Synthesis for HFpEF Clinical Trials,C21,"Transportability, Equity & External Validity"
65,HTA,HTA Artifact Standard: An Open-Source Platform with 41 Analytical Engines for Health Technology Assessment,C20,"HTA, Clinical Significance & Evidence Translation"
66,HTA-oman,HTA-Oman: Open-Source Browser-Based Health Technology Assessment Economic Modeling,C20,"HTA, Clinical Significance & Evidence Translation"
67,HTA_Evidence_Integrity_Suite,Evidence Integrity Suite for Multi-Layered Health Technology Assessment of Cochrane Reviews,C20,"HTA, Clinical Significance & Evidence Translation"
68,HTA_Transportability_Engine,Clinical Transportability Engine for Quantifying Efficacy Leakage in Health Technology Assessment,C20,"HTA, Clinical Significance & Evidence Translation"
69,HTA_Unified_Intelligence_System,HTA Unified Intelligence System: Self-Correcting Evidence Synthesis with Triple-Guard Ensemble Pooling,C20,"HTA, Clinical Significance & Evidence Translation"
70,idea12,Network Meta-Regression with Forensic Bias Detection for Observational-RCT Discordance,C14,"Meta-Regression, Overfitting & Precision Methods"
71,IndirectComparison,Indirect Treatment Comparison Calculator: Browser-Based Bucher Method with Coherence Testing,C05,Network Meta-Analysis Statistical Methods
72,IPD-Meta-Pro,IPD Meta-Analysis Pro: A Browser-Based Platform for Individual Participant Data Evidence Synthesis,C12,IPD & Survival Meta-Analysis
73,IPD_QMA,IPD-QMA: Detecting Heterogeneous Treatment Effects via Quantile Meta-Analysis of Individual Participant Data,C12,IPD & Survival Meta-Analysis
74,kanban-lab,Kanban Lab: A Persistent Browser-Based Drag-and-Drop Board for Research Task Management,C31,Specialized Browser Tools & Research Productivity
75,KMcurve,Fully Automated Kaplan-Meier Curve Extraction via Neural OCR and Mathematical Survival Constraints,C12,IPD & Survival Meta-Analysis
76,KMDigitizer,KMDigitizer: Browser-Based IPD Reconstruction from Published Kaplan-Meier Curves,C12,IPD & Survival Meta-Analysis
77,LFA,CBAMM: Collaborative Bayesian Adaptive Meta-Analysis with Population Transportability and Sequential Monitoring,C08,Bayesian & Shrinkage Meta-Analysis
78,living-meta,Living Meta-Analysis: A CT.gov-Native Browser Application for Continuously Updated Evidence Synthesis,C18,Living Evidence Synthesis Infrastructure
79,living-meta-engine,Living Meta-Analysis Engine: Config-Driven Browser Dashboard for Cardiology Evidence Synthesis,C18,Living Evidence Synthesis Infrastructure
80,llm-meta-analysis,LLM-Driven Meta-Analysis: Automated Extraction and Synthesis from Clinical Trials,C26,"Research Automation, AI Tools & Infrastructure"
81,mahmood726-cyber.github.io,Evidence Synthesis Portfolio Site: Living Validation Status Dashboard for 101 Projects,C26,"Research Automation, AI Tools & Infrastructure"
82,MAPowerCalc,MA Power: A Browser-Based Power and Sample Size Calculator for Random-Effects Meta-Analysis,C20,"HTA, Clinical Significance & Evidence Translation"
83,MAPriors,MAPriors: Browser-Based Meta-Analytic Predictive Priors and Dynamic Borrowing Engine,C08,Bayesian & Shrinkage Meta-Analysis
84,MAWorkbench,Meta-Analysis Workbench: A Central Hub for 49 Evidence Synthesis Tools,C27,Comprehensive MA Platforms & Integrated Suites
85,maxent-reconstructor,MaxEnt IPD Reconstructor: Maximum Entropy Recovery of Individual Patient Data,C12,IPD & Survival Meta-Analysis
86,MCIDMapper,MCID Mapper: Clinical Significance Assessment for Meta-Analytic Effect Estimates,C20,"HTA, Clinical Significance & Evidence Translation"
87,MES,Multiverse Evidence Synthesis: Robustness Classification of 403 Cochrane Meta-Analyses Across 648 Analytical Specifications,C15,Multiverse & Specification-Robustness Analysis
89,Meta_Ecosystem_Model,"The Meta-Analysis Ecosystem Model: Evidence Velocity, Effect Decay, and a Future-Proof Index Across 501 Cochrane Reviews",C19,Empirical Cochrane Corpus Studies
90,MetaAudit,MetaAudit: Reproducibility Capsule for Automated Meta-Analytic Quality Audits,C15,Multiverse & Specification-Robustness Analysis
92,MetaExtract,MetaExtract: Browser-Based Effect Estimate Extraction from Clinical Trial Abstracts via Deterministic Pattern Matching,C26,"Research Automation, AI Tools & Infrastructure"
93,MetaFolio,MetaFolio: Efficiency Frontier Subset Enumeration for Meta-Analysis Heterogeneity Decomposition,C10,"Heterogeneity, tau2 & Multilevel Meta-Analysis"
94,MetaFusion-Lab,MetaFusion Lab: Certainty-Weighted Random-Effects Meta-Analysis,C10,"Heterogeneity, tau2 & Multilevel Meta-Analysis"
96,MetaGuard,MetaGuard: A Browser-Based Robust and Forensic Meta-Analysis Toolkit,C27,Comprehensive MA Platforms & Integrated Suites
97,MetaMethods,MetaMethods: Six Advanced Statistical Methods for Meta-Analysis in a Dependency-Free Python Module,C10,"Heterogeneity, tau2 & Multilevel Meta-Analysis"
98,Metanew,EvidenceOS PRIME: Integrated Meta-Analysis and Health Technology Assessment Platform,C27,Comprehensive MA Platforms & Integrated Suites
99,metaoverfit,metaoverfit: Optimism-Corrected Heterogeneity Assessment for Meta-Regression,C14,"Meta-Regression, Overfitting & Precision Methods"
100,metaoverfit-paper,Overfitting in Published Meta-Regressions: Simulation and Empirical Survey,C14,"Meta-Regression, Overfitting & Precision Methods"
101,MetaRegression,MetaRegression Workbench: Browser-Based Mixed-Effects Meta-Regression with Permutation Tests,C14,"Meta-Regression, Overfitting & Precision Methods"
102,metarep,Replication Probability in Meta-Analysis,C19,Empirical Cochrane Corpus Studies
103,MetaRep,MetaRep: Most Significant Cochrane Meta-Analyses Predict Only 32% Replication Probability When Heterogeneity Is Accounted For,C19,Empirical Cochrane Corpus Studies
106,MetaReproducer,Computational Reproducibility Audit of 501 Cochrane Meta-Analyses,C16,"Reproducibility, Forensics & Data Integrity"
107,MetaShift,MetaShift: Changepoint Detection Reveals Hidden Regime Shifts in Cumulative Meta-Analysis,C17,"Sequential Evidence, TSA & Adaptive Design"
108,metasprint-autopilot,MetaSprint Autopilot: Zero-Install Browser Platform for Systematic Review and Meta-Analysis,C31,Specialized Browser Tools & Research Productivity
109,metasprint-cardio-universe,MetaSprint Cardio Universe: Provenance-First Discovery for Living Evidence Synthesis,C24,Clinical Trial Registry Audit & Surveillance
110,metasprint-dose-response,MetaSprint Dose-Response: Browser-Based Nonlinear Dose-Response Meta-Analysis with R Cross-Validation,C31,Specialized Browser Tools & Research Productivity
111,metasprint-dta,MetaSprint DTA: Automated Open-Access Discovery for Diagnostic Test Accuracy Meta-Analysis,C06,Diagnostic Test Accuracy Evidence Synthesis
112,metasprintnma,MetaSprint NMA: Zero-Install Browser Network Meta-Analysis with In-Browser R Cross-Validation,C31,Specialized Browser Tools & Research Productivity
113,metaverse-robust-MA,metaverse: Robust Meta-Analysis with Outlier-Resistant Estimation and Variable Selection,C10,"Heterogeneity, tau2 & Multilevel Meta-Analysis"
114,MethodsSuite,Methods Suite: Eight Interoperable Browser-Based Meta-Analysis Tools with MAIF,C27,Comprehensive MA Platforms & Integrated Suites
116,MLMResearch,MLMResearch: Empirical Stress-Testing and Adaptive Correction for Multilevel Meta-Analysis Methods,C10,"Heterogeneity, tau2 & Multilevel Meta-Analysis"
117,Multilevelerror,Multilevelerror: Influence Diagnostics for Three-Level Meta-Analysis,C10,"Heterogeneity, tau2 & Multilevel Meta-Analysis"
118,Multipledatameta,Multiple Data Source Meta-Analysis: Pooling Mixed-Format Study Results,C10,"Heterogeneity, tau2 & Multilevel Meta-Analysis"
119,MultiverseMA,MultiverseMA: Browser-Based Multiverse Meta-Analysis Engine,C15,Multiverse & Specification-Robustness Analysis
120,my-python-project,IPDAnalysis: Unified Python Interface for Individual Patient Data Meta-Analysis,C12,IPD & Survival Meta-Analysis
121,New_Heterogeneity_Model,Adaptive Shrinkage Estimator for Heterogeneity in Small-Sample Meta-Analysis,C10,"Heterogeneity, tau2 & Multilevel Meta-Analysis"
122,nma-dose-response-app,NMA Dose-Response Studio: Browser-Based Network Meta-Analysis with Dose-Response Modeling,C31,Specialized Browser Tools & Research Productivity
123,NMAhtml,NMA Pro: A Browser-Based Network Meta-Analysis Platform with Integrated Rapid Review,C31,Specialized Browser Tools & Research Productivity
124,nmapaper111025,nmatransport: Population-Transported Network Meta-Analysis with Entropy Balancing,C05,Network Meta-Analysis Statistical Methods
125,NNTMapper,NNTMapper: Converting Meta-Analytic Effects into Population-Specific Number Needed to Treat with Heterogeneity Propagation,C20,"HTA, Clinical Significance & Evidence Translation"
128,OverlapMatrix,Overlap Matrix and Corrected Covered Area Calculator for Umbrella Reviews,C19,Empirical Cochrane Corpus Studies
131,Pairwiseai,TruthCert PairwisePro: Browser-Based Pairwise Meta-Analysis with Regional Health-Economic Overlays,C18,Living Evidence Synthesis Infrastructure
132,Paper1,Bootstrap-Aggregated Penalized Meta-Regression for Small-Sample Evidence Synthesis,C14,"Meta-Regression, Overfitting & Precision Methods"
133,Paper2.111025,Precision-Weighted Cross-Validation for Unbiased Meta-Regression R-Squared Estimation,C14,"Meta-Regression, Overfitting & Precision Methods"
134,PoolingSuite,Pooling Suite: Browser-Based Meta-Analysis Engine with Ten Heterogeneity Estimators,C10,"Heterogeneity, tau2 & Multilevel Meta-Analysis"
136,PredictionGap,The Prediction Gap: 72% of Significant Meta-Analyses Have Null-Spanning Prediction Intervals,C19,Empirical Cochrane Corpus Studies
137,PRISMAChecker,PRISMA 2020 Compliance Checker: An Interactive Browser Tool for Systematic Review Reporting Assessment,C23,"GRADE, PRISMA & Systematic Review Reporting"
138,PRISMAFlow,PRISMA 2020 Flow Diagram Generator for Systematic Reviews,C23,"GRADE, PRISMA & Systematic Review Reporting"
140,prognostic-meta,PrognosisMeta: Browser-Based Prognostic Meta-Analysis Engine,C12,IPD & Survival Meta-Analysis
141,pub-bias-simulation,Publication Bias Adjustment Methods: A 135-Scenario Simulation Comparison,C09,"Publication Bias, Correction & Fragility"
142,PubBiasSuite,PubBias Suite: Comprehensive Publication Bias Assessment with 12 Methods and 3 Funnel Plot Variants,C09,"Publication Bias, Correction & Fragility"
143,rct-extractor-v2,Deterministic Effect Estimate Extraction from RCT PDFs,C26,"Research Automation, AI Tools & Infrastructure"
145,registry_first_rct_meta,Registry-First Meta-Analysis: Quantifying Missing Cardiovascular Trial Evidence,C21,"Transportability, Equity & External Validity"
146,repo100,repo100: A Curated Collection of 137 Meta-Regression Benchmark Datasets,C14,"Meta-Regression, Overfitting & Precision Methods"
147,repo300-ENMA-SNMA,Ensemble and Spectral Network Meta-Analysis: Novel Inconsistency-Robust Methods,C05,Network Meta-Analysis Statistical Methods
148,RMSTmeta,RMST Meta: A Browser Tool for Meta-Analysis of Restricted Mean Survival Time Beyond the Hazard Ratio,C12,IPD & Survival Meta-Analysis
149,rmstnma,Bayesian RMST Network Meta-Analysis: The rmstnma R Package,C12,IPD & Survival Meta-Analysis
150,RoBAssessor,RoB Assessor: A Browser-Based Risk of Bias Assessment Tool Implementing RoB 2 and ROBINS-I,C23,"GRADE, PRISMA & Systematic Review Reporting"
151,ROBMA,ROBMA Reproducibility Capsule for Reviewer-Auditable Bayesian Model Averaging,C08,Bayesian & Shrinkage Meta-Analysis
152,shahzaib-icu-landscape,ICU Hemodynamic Trial Landscape: A Living Evidence Map,C24,Clinical Trial Registry Audit & Surveillance
153,SheafNMA,Sheaf-Theoretic Consistency Analysis for Network Meta-Analysis,C05,Network Meta-Analysis Statistical Methods
154,SoFTable,GRADE Summary of Findings Table Generator for Systematic Reviews,C23,"GRADE, PRISMA & Systematic Review Reporting"
155,TDA_MA,Topological Data Analysis for Meta-Analytic Heterogeneity Exploration,C22,Advanced Mathematical & Geometric Evidence Methods
156,TGEP_Development,Triple-Guard Ensemble Pooling for Bias-Sensitive Meta-Analysis,C09,"Publication Bias, Correction & Fragility"
157,TransportabilityCalc,Clinical Transportability Engine: A Composite Penalty Index for Meta-Analysis Generalizability,C21,"Transportability, Equity & External Validity"
158,TrialRadar,TrialRadar: Living Clinical Trial Surveillance Dashboard for Ghost Protocol Detection,C24,Clinical Trial Registry Audit & Surveillance
159,truthcert-denominator-phase1,Denominator-First Bayesian Meta-Analysis Engine for Registry-Aware Evidence Synthesis,C08,Bayesian & Shrinkage Meta-Analysis
160,truthcert-meta2-prototype,TruthCert Meta2: Governance Overlay for Denominator-First Meta-Analysis,C08,Bayesian & Shrinkage Meta-Analysis
161,Truthcert1,TruthCert-MA: A Cross-Platform JavaScript Meta-Analysis Engine Validated Against R,C27,Comprehensive MA Platforms & Integrated Suites
162,Truthcert1_work,TruthCert-PairwisePro: A Browser-Based Pairwise Meta-Analysis Engine with Seven Heterogeneity Estimators,C27,Comprehensive MA Platforms & Integrated Suites
164,UmbrellaReview,Umbrella Review Evidence Classifier with Credibility Grading,C23,"GRADE, PRISMA & Systematic Review Reporting"
165,Value_Based_HTA_Engine,Multi-Criteria Evidence Synthesizer for Automated Benefit-Harm Trade-Off in Health Technology Assessment,C20,"HTA, Clinical Significance & Evidence Translation"
166,VOICalculator,Value of Information Calculator for Meta-Analysis Decision Support,C20,"HTA, Clinical Significance & Evidence Translation"
167,wasserstein,Automated Kaplan-Meier Digitization for Hazard Ratio Extraction,C12,IPD & Survival Meta-Analysis
168,WorldIPD,WorldIPD: An Open Individual Participant Data Hub with Standardized Schema and Provenance,C12,IPD & Survival Meta-Analysis
169,WorldIPD-private,WorldIPD-Private: Secure Scaffold for Non-Redistributable Individual Participant Data,C12,IPD & Survival Meta-Analysis
170,3dvitreous-grapher,3D Vitreous Grapher: Interactive Three-Dimensional Visualization of Ophthalmic Surgical Anatomy,C06,Diagnostic Test Accuracy Evidence Synthesis
172,area1_small_sample_analysis,Small-Sample Meta-Analysis Methods: Characterization and Performance Under k < 100,C10,"Heterogeneity, tau2 & Multilevel Meta-Analysis"
173,asreview_5star,"ASReview 5-Star: Enhanced Systematic Review Screening with Stopping Rules, IRR, and Meta-Analysis Integration",C23,"GRADE, PRISMA & Systematic Review Reporting"
174,AsSirat,As-Sirat: The Evidence Passport for Navigating Meta-Analytic Uncertainty,C23,"GRADE, PRISMA & Systematic Review Reporting"
175,cardio-ctgov-living-meta-portfolio,Cardio CT.gov Living Meta Portfolio: Automated Generation of 27 Topic-Specific Cardiovascular Evidence Reviews,C18,Living Evidence Synthesis Infrastructure
176,cbamm-project2,CBAMM Phase 2: Cochrane Bias-Adjusted Meta-Model Development,C08,Bayesian & Shrinkage Meta-Analysis
178,CINeMA,CINeMA: Browser-Based Confidence in Network Meta-Analysis Across Six Domains,C05,Network Meta-Analysis Statistical Methods
179,claude-rct-work,Claude-RCT-Work: LLM-Assisted Randomised Controlled Trial Data Extraction Workflow,C26,"Research Automation, AI Tools & Infrastructure"
180,ctgov-actual-discipline-repeaters,CT.gov Actual-Discipline Repeaters,C03,CT.gov Sponsor & Industry Repeaters
181,ctgov-actual-field-discipline,CT.gov Actual-Field Discipline,C03,CT.gov Sponsor & Industry Repeaters
182,ctgov-black-box-sponsor-repeaters,CT.gov Black-Box Sponsor Repeaters,C04,"CT.gov Registry Structure, Design & Black-Box"
185,ctgov-completion-timing-repeaters,CT.gov Completion-Timing Repeaters,C04,"CT.gov Registry Structure, Design & Black-Box"
186,ctgov-condition-ancient-backlog,CT.gov Condition Ancient Backlog,C01,CT.gov Condition-Dimension Hiddenness
188,ctgov-condition-detailed-description-gap,CT.gov Condition Detailed-Description Gap,C01,CT.gov Condition-Dimension Hiddenness
189,ctgov-condition-enrollment-gap,CT.gov Condition Enrollment Gap,C01,CT.gov Condition-Dimension Hiddenness
190,ctgov-condition-excess-watchlist,CT.gov Condition Excess Watchlist,C01,CT.gov Condition-Dimension Hiddenness
191,ctgov-condition-ghost-watchlist,CT.gov Condition Ghost Watchlist,C01,CT.gov Condition-Dimension Hiddenness
192,ctgov-condition-narrative-gap,CT.gov Condition Narrative Gap,C01,CT.gov Condition-Dimension Hiddenness
193,ctgov-condition-overdue-debt,CT.gov Condition Overdue Debt,C01,CT.gov Condition-Dimension Hiddenness
194,ctgov-condition-primary-only-gap,CT.gov Condition Primary-Only Gap,C01,CT.gov Condition-Dimension Hiddenness
195,ctgov-condition-primary-outcome-gap,CT.gov Condition Primary-Outcome Gap,C01,CT.gov Condition-Dimension Hiddenness
196,ctgov-condition-sponsor-repeaters,CT.gov Condition Sponsor Repeaters,C01,CT.gov Condition-Dimension Hiddenness
197,ctgov-condition-text-asymmetry,CT.gov Condition Text Asymmetry,C01,CT.gov Condition-Dimension Hiddenness
198,ctgov-country-ancient-backlog,CT.gov Country Ancient Backlog,C02,CT.gov Country-Dimension Hiddenness
199,ctgov-country-condition-hiddenness,CT.gov Country-Condition Hiddenness,C02,CT.gov Country-Dimension Hiddenness
200,ctgov-country-description-black-box,CT.gov Country Description Black-Box,C02,CT.gov Country-Dimension Hiddenness
201,ctgov-country-detailed-description-gap,CT.gov Country Detailed-Description Gap,C02,CT.gov Country-Dimension Hiddenness
202,ctgov-country-enrollment-gap,CT.gov Country Enrollment Gap,C02,CT.gov Country-Dimension Hiddenness
203,ctgov-country-excess-watchlist,CT.gov Country Excess Watchlist,C02,CT.gov Country-Dimension Hiddenness
204,ctgov-country-ghost-watchlist,CT.gov Country Ghost Watchlist,C02,CT.gov Country-Dimension Hiddenness
205,ctgov-country-narrative-gap,CT.gov Country Narrative Gap,C02,CT.gov Country-Dimension Hiddenness
206,ctgov-country-overdue-debt,CT.gov Country Overdue Debt,C02,CT.gov Country-Dimension Hiddenness
207,ctgov-country-primary-only-gap,CT.gov Country Primary-Only Gap,C02,CT.gov Country-Dimension Hiddenness
208,ctgov-country-primary-outcome-gap,CT.gov Country Primary-Outcome Gap,C02,CT.gov Country-Dimension Hiddenness
210,ctgov-country-sponsor-repeaters,CT.gov Country Sponsor Repeaters,C02,CT.gov Country-Dimension Hiddenness
211,ctgov-country-text-asymmetry,CT.gov Country Text Asymmetry,C02,CT.gov Country-Dimension Hiddenness
212,ctgov-description-black-box-repeaters,CT.gov Description-Black-Box Repeaters,C04,"CT.gov Registry Structure, Design & Black-Box"
213,ctgov-design-purpose-hiddenness,CT.gov Design-Purpose Hiddenness,C04,"CT.gov Registry Structure, Design & Black-Box"
214,ctgov-disease-geography-gap,CT.gov Disease Geography Gap,C01,CT.gov Condition-Dimension Hiddenness
215,ctgov-enrollment-size-gap,CT.gov Enrollment-Size Gap,C04,"CT.gov Registry Structure, Design & Black-Box"
217,ctgov-industry-family-repeaters,CT.gov Industry Family Repeaters,C03,CT.gov Sponsor & Industry Repeaters
218,ctgov-intervention-type-gap,CT.gov Intervention-Type Gap,C04,"CT.gov Registry Structure, Design & Black-Box"
219,ctgov-modality-sponsor-repeaters,CT.gov Modality Sponsor Repeaters,C03,CT.gov Sponsor & Industry Repeaters
220,ctgov-narrative-gap-repeaters,CT.gov Narrative Gap Repeaters,C03,CT.gov Sponsor & Industry Repeaters
225,ctgov-risk-adjusted-hiddenness,CT.gov Risk-Adjusted Hiddenness,C04,"CT.gov Registry Structure, Design & Black-Box"
226,ctgov-sponsor-ancient-backlog,CT.gov Sponsor Ancient Backlog,C03,CT.gov Sponsor & Industry Repeaters
227,ctgov-sponsor-class-primary-only-gap,CT.gov Sponsor-Class Primary-Only Gap,C03,CT.gov Sponsor & Industry Repeaters
228,ctgov-sponsor-detailed-description-gap,CT.gov Sponsor Detailed-Description Gap,C03,CT.gov Sponsor & Industry Repeaters
229,ctgov-sponsor-enrollment-gap-repeaters,CT.gov Sponsor Enrollment-Gap Repeaters,C03,CT.gov Sponsor & Industry Repeaters
230,ctgov-sponsor-excess-watchlist,CT.gov Sponsor Excess Watchlist,C03,CT.gov Sponsor & Industry Repeaters
231,ctgov-sponsor-ghost-repeaters,CT.gov Sponsor Ghost Repeaters,C03,CT.gov Sponsor & Industry Repeaters
232,ctgov-sponsor-overdue-debt,CT.gov Sponsor Overdue Debt,C03,CT.gov Sponsor & Industry Repeaters
233,ctgov-sponsor-primary-only-gap,CT.gov Sponsor Primary-Only Gap,C03,CT.gov Sponsor & Industry Repeaters
234,ctgov-sponsor-primary-outcome-gap,CT.gov Sponsor Primary-Outcome Gap,C03,CT.gov Sponsor & Industry Repeaters
235,ctgov-sponsor-text-asymmetry,CT.gov Sponsor Text Asymmetry,C03,CT.gov Sponsor & Industry Repeaters
236,ctgov-stopped-trial-disclosure-gap,CT.gov Stopped-Trial Disclosure Gap,C04,"CT.gov Registry Structure, Design & Black-Box"
237,ctgov-strict-core-black-box,CT.gov Strict-Core Black-Box,C04,"CT.gov Registry Structure, Design & Black-Box"
238,ctgov-strict-proxy-repeaters,CT.gov Strict-Proxy Repeaters,C04,"CT.gov Registry Structure, Design & Black-Box"
240,ctgov-us-vs-exus-sponsor-classes,CT.gov U.S. Versus Ex-U.S. Sponsor Classes,C02,CT.gov Country-Dimension Hiddenness
242,Denominator_Calibrated_Living_NMA,Denominator-Calibrated Living NMA: Registry-First Network Meta-Analysis with Sample Size Adjustment,C05,Network Meta-Analysis Statistical Methods
243,esc-acs-living-meta,ESC ACS Living Meta: Shared Cardiovascular Living Meta-Analysis Engine with GRADE Assessment and Topic-Context Validation,C24,Clinical Trial Registry Audit & Surveillance
244,EvidenceGapMap,Evidence Gap Map: Interactive Bubble-Chart Visualisation of Research Coverage Across Clinical Domains,C19,Empirical Cochrane Corpus Studies
246,EvidenceOracle,EvidenceOracle: Machine Learning Prediction of Meta-Analytic Result Instability,C26,"Research Automation, AI Tools & Infrastructure"
247,experimental-meta-analysis,Experimental Meta-Analysis Framework: 300+ Methods with Simulation Infrastructure,C27,Comprehensive MA Platforms & Integrated Suites
248,Fatiha-Course,Advanced Meta-Analysis Course: A 25-Module Interactive Educational Platform,C23,"GRADE, PRISMA & Systematic Review Reporting"
249,finalpaper,Final Paper Compilation: Meta-Analytic Evidence Synthesis Manuscript Assembly,C26,"Research Automation, AI Tools & Infrastructure"
