idx,name,title,type,category,pub_status
1,501MLM,MLM501: Cochrane Multilevel Meta-Analysis Effects Table from 501 Reviews,methods  |  ESTIMAND: SMD,methods-paper,unpublished
96,MetaGuard,MetaGuard: A Browser-Based Robust and Forensic Meta-Analysis Toolkit,methods  |  ESTIMAND: Outlier-adjusted pooled effect via DPD,methods-paper,unpublished
97,MetaMethods,MetaMethods: Six Advanced Statistical Methods for Meta-Analysis in a Dependency-Free Python Module,methods  |  ESTIMAND: E-value for unmeasured confounding,methods-paper,unpublished
98,Metanew,EvidenceOS PRIME: Integrated Meta-Analysis and Health Technology Assessment Platform,methods  |  ESTIMAND: Pooled OR (95% CI),methods-paper,unpublished
99,metaoverfit,metaoverfit: Optimism-Corrected Heterogeneity Assessment for Meta-Regression,methods  |  ESTIMAND: Optimism-corrected R-squared,methods-paper,unpublished
100,metaoverfit-paper,Overfitting in Published Meta-Regressions: Simulation and Empirical Survey,methods  |  ESTIMAND: R-squared optimism,methods-paper,unpublished
101,MetaRegression,MetaRegression Workbench: Browser-Based Mixed-Effects Meta-Regression with Permutation Tests,methods  |  ESTIMAND: Regression slope (R-squared),methods-paper,unpublished
102,metarep,Replication Probability in Meta-Analysis,methods  |  ESTIMAND: Calibration slope for replication probability,methods-paper,unpublished
103,MetaRep,MetaRep: Most Significant Cochrane Meta-Analyses Predict Only 32% Replication Probability When Heterogeneity Is Accounted For,methods  |  ESTIMAND: Replication probability (heterogeneity-aware predictive power),methods-paper,unpublished
104,MetaRepair,MetaRepair: Automated Diagnosis and Correction of Meta-Analysis Pathologies,empirical  |  ESTIMAND: Corrected pooled effect with uncertainty decomposition,meta-research-empirical,unpublished
106,MetaReproducer,Computational Reproducibility Audit of 501 Cochrane Meta-Analyses,methods  |  ESTIMAND: Prevalence,methods-paper,unpublished
107,MetaShift,MetaShift: Changepoint Detection Reveals Hidden Regime Shifts in Cumulative Meta-Analysis,methods  |  ESTIMAND: Changepoint detection rate,methods-paper,unpublished
108,metasprint-autopilot,MetaSprint Autopilot: Zero-Install Browser Platform for Systematic Review and Meta-Analysis,methods  |  ESTIMAND: Engine accuracy vs Cochrane reviews,methods-paper,unpublished
109,metasprint-cardio-universe,MetaSprint Cardio Universe: Provenance-First Discovery for Living Evidence Synthesis,methods  |  ESTIMAND: Ingestion recall,methods-paper,unpublished
110,metasprint-dose-response,MetaSprint Dose-Response: Browser-Based Nonlinear Dose-Response Meta-Analysis with R Cross-Validation,methods  |  ESTIMAND: Dose-response coefficients,methods-paper,unpublished
111,metasprint-dta,MetaSprint DTA: Automated Open-Access Discovery for Diagnostic Test Accuracy Meta-Analysis,methods  |  ESTIMAND: Pooled sensitivity and specificity,methods-paper,unpublished
112,metasprintnma,MetaSprint NMA: Zero-Install Browser Network Meta-Analysis with In-Browser R Cross-Validation,methods  |  ESTIMAND: Treatment effect concordance,methods-paper,unpublished
113,metaverse-robust-MA,metaverse: Robust Meta-Analysis with Outlier-Resistant Estimation and Variable Selection,methods  |  ESTIMAND: Pooled SMD bias,methods-paper,unpublished
114,MethodsSuite,Methods Suite: Eight Interoperable Browser-Based Meta-Analysis Tools with MAIF,methods  |  ESTIMAND: Cross-tool MAIF round-trip fidelity,methods-paper,unpublished
115,MLM501,MLM501: A Multilevel Effects Table from 501 Cochrane Pairwise Meta-Analysis Reviews,data  |  ESTIMAND: Median effects per analysis (IQR),data-paper,unpublished
116,MLMResearch,MLMResearch: Empirical Stress-Testing and Adaptive Correction for Multilevel Meta-Analysis Methods,methods  |  ESTIMAND: Variance collapse rate with median degrees of freedom (IQR),methods-paper,unpublished
117,Multilevelerror,Multilevelerror: Influence Diagnostics for Three-Level Meta-Analysis,methods  |  ESTIMAND: Median Cook distance (IQR),methods-paper,unpublished
118,Multipledatameta,Multiple Data Source Meta-Analysis: Pooling Mixed-Format Study Results,methods  |  ESTIMAND: Standardized mean difference,methods-paper,unpublished
119,MultiverseMA,MultiverseMA: Browser-Based Multiverse Meta-Analysis Engine,methods  |  ESTIMAND: Specification concordance,methods-paper,unpublished
120,my-python-project,IPDAnalysis: Unified Python Interface for Individual Patient Data Meta-Analysis,"methods  |  ESTIMAND: Hazard ratio, odds ratio, mean difference",methods-paper,unpublished
121,New_Heterogeneity_Model,Adaptive Shrinkage Estimator for Heterogeneity in Small-Sample Meta-Analysis,methods  |  ESTIMAND: Tau-squared MSE reduction,methods-paper,unpublished
122,nma-dose-response-app,NMA Dose-Response Studio: Browser-Based Network Meta-Analysis with Dose-Response Modeling,methods  |  ESTIMAND: Pooled treatment effect with dose-response curve,methods-paper,unpublished
123,NMAhtml,NMA Pro: A Browser-Based Network Meta-Analysis Platform with Integrated Rapid Review,methods  |  ESTIMAND: Pooled treatment effect (SMD/OR/RR),methods-paper,unpublished
124,nmapaper111025,nmatransport: Population-Transported Network Meta-Analysis with Entropy Balancing,methods  |  ESTIMAND: P-score (treatment ranking probability),methods-paper,unpublished
125,NNTMapper,NNTMapper: Converting Meta-Analytic Effects into Population-Specific Number Needed to Treat with Heterogeneity Propagation,methods  |  ESTIMAND: Number Needed to Treat across baseline risk range,methods-paper,unpublished
126,OutcomeReportingBias,Outcome Reporting Bias Risk in 473 Cochrane Meta-Analyses: An Excess Significance Approach,meta-research  |  ESTIMAND: ORB risk prevalence,meta-research-empirical,unpublished
127,OverlapDetector,Study Overlap Across 591 Cochrane Reviews: Quantifying Non-Independence for Meta-Research,meta-research  |  ESTIMAND: Corrected Covered Area (CCA),meta-research-empirical,unpublished
128,OverlapMatrix,Overlap Matrix and Corrected Covered Area Calculator for Umbrella Reviews,methods  |  ESTIMAND: Corrected Covered Area (CCA),methods-paper,unpublished
129,Pairwise70,Pairwise70: Standardized Dataset of 501 Cochrane Meta-Analyses,data  |  ESTIMAND: Fragility index,data-paper,unpublished
131,Pairwiseai,TruthCert PairwisePro: Browser-Based Pairwise Meta-Analysis with Regional Health-Economic Overlays,methods  |  ESTIMAND: Pooled effect size (OR/RR/MD/SMD),methods-paper,unpublished
132,Paper1,Bootstrap-Aggregated Penalized Meta-Regression for Small-Sample Evidence Synthesis,methods  |  ESTIMAND: R-squared heterogeneity,methods-paper,unpublished
133,Paper2.111025,Precision-Weighted Cross-Validation for Unbiased Meta-Regression R-Squared Estimation,methods  |  ESTIMAND: Precision-weighted cross-validated R-squared,methods-paper,unpublished
134,PoolingSuite,Pooling Suite: Browser-Based Meta-Analysis Engine with Ten Heterogeneity Estimators,methods  |  ESTIMAND: Pooled effect (tau-squared comparison),methods-paper,unpublished
135,portfolio-site,Meta-Analysis Methods Lab: A Single-Page Portfolio for 101 Evidence Synthesis Projects,showcase  |  ESTIMAND: Project catalog completeness,tool-infrastructure,unpublished
136,PredictionGap,The Prediction Gap: 72% of Significant Meta-Analyses Have Null-Spanning Prediction Intervals,methods  |  ESTIMAND: False reassurance rate,methods-paper,unpublished
137,PRISMAChecker,PRISMA 2020 Compliance Checker: An Interactive Browser Tool for Systematic Review Reporting Assessment,methods  |  ESTIMAND: PRISMA 2020 compliance percentage,methods-paper,unpublished
138,PRISMAFlow,PRISMA 2020 Flow Diagram Generator for Systematic Reviews,methods  |  ESTIMAND: PRISMA flow diagram compliance,methods-paper,unpublished
140,prognostic-meta,PrognosisMeta: Browser-Based Prognostic Meta-Analysis Engine,methods  |  ESTIMAND: HR,methods-paper,unpublished
141,pub-bias-simulation,Publication Bias Adjustment Methods: A 135-Scenario Simulation Comparison,methods  |  ESTIMAND: RMSE of bias-corrected pooled estimate,methods-paper,unpublished
142,PubBiasSuite,PubBias Suite: Comprehensive Publication Bias Assessment with 12 Methods and 3 Funnel Plot Variants,methods  |  ESTIMAND: Bias-adjusted pooled effect estimates,methods-paper,unpublished
143,rct-extractor-v2,Deterministic Effect Estimate Extraction from RCT PDFs,methods  |  ESTIMAND: Sensitivity,methods-paper,unpublished
144,reduced-dose-doacs-vte-demo,Reduced-dose direct oral anticoagulants for extended venous thromboembolism prevention,pairwise  |  ESTIMAND: Risk ratio for major bleeding,clinical-meta-analysis,unpublished
145,registry_first_rct_meta,Registry-First Meta-Analysis: Quantifying Missing Cardiovascular Trial Evidence,methods  |  ESTIMAND: Evidence Coverage Ratio (trial-level),methods-paper,unpublished
146,repo100,repo100: A Curated Collection of 137 Meta-Regression Benchmark Datasets,methods  |  ESTIMAND: Dataset count and median study size,methods-paper,unpublished
147,repo300-ENMA-SNMA,Ensemble and Spectral Network Meta-Analysis: Novel Inconsistency-Robust Methods,methods  |  ESTIMAND: Coverage improvement (percentage points),methods-paper,unpublished
148,RMSTmeta,RMST Meta: A Browser Tool for Meta-Analysis of Restricted Mean Survival Time Beyond the Hazard Ratio,methods  |  ESTIMAND: Pooled RMST difference (months),methods-paper,unpublished
149,rmstnma,Bayesian RMST Network Meta-Analysis: The rmstnma R Package,methods  |  ESTIMAND: RMST difference (months),methods-paper,unpublished
150,RoBAssessor,RoB Assessor: A Browser-Based Risk of Bias Assessment Tool Implementing RoB 2 and ROBINS-I,methods  |  ESTIMAND: Domain-level and overall risk of bias judgments,methods-paper,unpublished
151,ROBMA,ROBMA Reproducibility Capsule for Reviewer-Auditable Bayesian Model Averaging,methods  |  ESTIMAND: summary effect,methods-paper,unpublished
152,shahzaib-icu-landscape,ICU Hemodynamic Trial Landscape: A Living Evidence Map,methods  |  ESTIMAND: Sensitivity,methods-paper,unpublished
153,SheafNMA,Sheaf-Theoretic Consistency Analysis for Network Meta-Analysis,methods  |  ESTIMAND: Global Inconsistency Index (GII),methods-paper,unpublished
154,SoFTable,GRADE Summary of Findings Table Generator for Systematic Reviews,methods  |  ESTIMAND: GRADE certainty rating,methods-paper,unpublished
155,TDA_MA,Topological Data Analysis for Meta-Analytic Heterogeneity Exploration,methods  |  ESTIMAND: Persistent homology (Betti numbers),methods-paper,unpublished
156,TGEP_Development,Triple-Guard Ensemble Pooling for Bias-Sensitive Meta-Analysis,methods  |  ESTIMAND: Ensemble pooled effect estimate (MAE),methods-paper,unpublished
157,TransportabilityCalc,Clinical Transportability Engine: A Composite Penalty Index for Meta-Analysis Generalizability,methods  |  ESTIMAND: Median CTE penalty index,methods-paper,unpublished
158,TrialRadar,TrialRadar: Living Clinical Trial Surveillance Dashboard for Ghost Protocol Detection,methods  |  ESTIMAND: Ghost protocol detection rate,methods-paper,unpublished
159,truthcert-denominator-phase1,Denominator-First Bayesian Meta-Analysis Engine for Registry-Aware Evidence Synthesis,methods  |  ESTIMAND: False reassurance rate reduction,methods-paper,unpublished
160,truthcert-meta2-prototype,TruthCert Meta2: Governance Overlay for Denominator-First Meta-Analysis,methods  |  ESTIMAND: Mean difference,methods-paper,unpublished
161,Truthcert1,TruthCert-MA: A Cross-Platform JavaScript Meta-Analysis Engine Validated Against R,methods  |  ESTIMAND: Pooled effect size (OR/RR/MD/SMD),methods-paper,unpublished
162,Truthcert1_work,TruthCert-PairwisePro: A Browser-Based Pairwise Meta-Analysis Engine with Seven Heterogeneity Estimators,methods  |  ESTIMAND: Pooled effect size (OR/RR/MD/SMD),methods-paper,unpublished
164,UmbrellaReview,Umbrella Review Evidence Classifier with Credibility Grading,methods  |  ESTIMAND: Evidence conviction class,methods-paper,unpublished
165,Value_Based_HTA_Engine,Multi-Criteria Evidence Synthesizer for Automated Benefit-Harm Trade-Off in Health Technology Assessment,methods  |  ESTIMAND: Net clinical benefit,methods-paper,unpublished
166,VOICalculator,Value of Information Calculator for Meta-Analysis Decision Support,methods  |  ESTIMAND: EVPI and EVSI (dollars),methods-paper,unpublished
167,wasserstein,Automated Kaplan-Meier Digitization for Hazard Ratio Extraction,methods  |  ESTIMAND: HR,methods-paper,unpublished
168,WorldIPD,WorldIPD: An Open Individual Participant Data Hub with Standardized Schema and Provenance,methods  |  ESTIMAND: Dataset count,methods-paper,unpublished
169,WorldIPD-private,WorldIPD-Private: Secure Scaffold for Non-Redistributable Individual Participant Data,methods  |  ESTIMAND: Schema compliance rate,methods-paper,unpublished
170,3dvitreous-grapher,3D Vitreous Grapher: Interactive Three-Dimensional Visualization of Ophthalmic Surgical Anatomy,methods  |  ESTIMAND: Rendering accuracy and anatomical fidelity,methods-paper,unpublished
172,area1_small_sample_analysis,Small-Sample Meta-Analysis Methods: Characterization and Performance Under k < 100,methods  |  ESTIMAND: Coverage probability and type I error rate,methods-paper,unpublished
173,asreview_5star,"ASReview 5-Star: Enhanced Systematic Review Screening with Stopping Rules, IRR, and Meta-Analysis Integration",methods  |  ESTIMAND: Screening recall and work saved over sampling,methods-paper,unpublished
174,AsSirat,As-Sirat: The Evidence Passport for Navigating Meta-Analytic Uncertainty,methods  |  ESTIMAND: Evidence navigation score,methods-paper,unpublished
175,cardio-ctgov-living-meta-portfolio,Cardio CT.gov Living Meta Portfolio: Automated Generation of 27 Topic-Specific Cardiovascular Evidence Reviews,methods  |  ESTIMAND: documentation proportion,methods-paper,unpublished
176,cbamm-project2,CBAMM Phase 2: Cochrane Bias-Adjusted Meta-Model Development,methods  |  ESTIMAND: Bias-adjusted pooled effect estimate,methods-paper,unpublished
177,childnajia,HIDAYAH: A Clinical Danger Detection Engine for Paediatric Emergency Triage,clinical  |  ESTIMAND: Triage sensitivity and specificity,clinical-meta-analysis,unpublished
178,CINeMA,CINeMA: Browser-Based Confidence in Network Meta-Analysis Across Six Domains,methods  |  ESTIMAND: NMA confidence rating (Very Low to High),methods-paper,unpublished
179,claude-rct-work,Claude-RCT-Work: LLM-Assisted Randomised Controlled Trial Data Extraction Workflow,methods  |  ESTIMAND: Extraction accuracy and concordance with manual extraction,methods-paper,unpublished
180,ctgov-actual-discipline-repeaters,CT.gov Actual-Discipline Repeaters,methods  |  ESTIMAND: Any actual-field gap stock and rate among named lead sponsors with at least 100 older studies,methods-paper,unpublished
181,ctgov-actual-field-discipline,CT.gov Actual-Field Discipline,methods  |  ESTIMAND: 2-year no-results rate across actual-field discipline groups among eligible older CT.gov studies,methods-paper,unpublished
182,ctgov-black-box-sponsor-repeaters,CT.gov Black-Box Sponsor Repeaters,methods  |  ESTIMAND: Black-box stock and rate among named lead sponsors in the older-study CT.gov universe,methods-paper,unpublished
185,ctgov-completion-timing-repeaters,CT.gov Completion-Timing Repeaters,methods  |  ESTIMAND: Completion-timing gap stock among older studies missing actual primary completion or actual completion fields,methods-paper,unpublished
186,ctgov-condition-ancient-backlog,CT.gov Condition Ancient Backlog,methods  |  ESTIMAND: Ancient-backlog stock among older closed interventional studies unresolved at least ten overdue years beyond the two-year mark,methods-paper,unpublished
188,ctgov-condition-detailed-description-gap,CT.gov Condition Detailed-Description Gap,methods  |  ESTIMAND: Detailed-description-gap stock among older studies missing the detailed description field,methods-paper,unpublished
189,ctgov-condition-enrollment-gap,CT.gov Condition Enrollment Gap,methods  |  ESTIMAND: Enrollment-gap stock among older studies missing actual enrollment,methods-paper,unpublished
190,ctgov-condition-excess-watchlist,CT.gov Condition Excess Watchlist,methods  |  ESTIMAND: Adjusted excess no-results and ghost stock across CT.gov condition families,methods-paper,unpublished
